date,bytes,shard count,start,end
2019-06-25,42772023873,44,2019-06-25T00:00:00.000Z,2019-06-25T22:00:00.000Z
2019-06-24,47308713282,48,2019-06-24T00:00:00.000Z,2019-06-25T00:00:00.000Z
2019-06-23,49605925304,48,2019-06-23T00:00:00.000Z,2019-06-24T00:00:00.000Z
2019-06-22,44840184114,48,2019-06-22T00:00:00.000Z,2019-06-23T00:00:00.000Z
2019-06-21,42206191951,48,2019-06-21T00:00:00.000Z,2019-06-22T00:00:00.000Z
2019-06-20,42774621716,48,2019-06-20T00:00:00.000Z,2019-06-21T00:00:00.000Z
2019-06-19,39150634360,48,2019-06-19T00:00:00.000Z,2019-06-20T00:00:00.000Z
2019-06-18,38592437166,48,2019-06-18T00:00:00.000Z,2019-06-19T00:00:00.000Z
2019-06-17,39365373780,48,2019-06-17T00:00:00.000Z,2019-06-18T00:00:00.000Z
2019-06-16,44394163769,48,2019-06-16T00:00:00.000Z,2019-06-17T00:00:00.000Z
2019-06-15,38776444654,48,2019-06-15T00:00:00.000Z,2019-06-16T00:00:00.000Z
2019-06-14,35362312494,48,2019-06-14T00:00:00.000Z,2019-06-15T00:00:00.000Z
2019-06-13,39006568243,48,2019-06-13T00:00:00.000Z,2019-06-14T00:00:00.000Z
2019-06-12,41028948005,48,2019-06-12T00:00:00.000Z,2019-06-13T00:00:00.000Z
2019-06-11,42629468191,48,2019-06-11T00:00:00.000Z,2019-06-12T00:00:00.000Z
2019-06-10,47673655251,48,2019-06-10T00:00:00.000Z,2019-06-11T00:00:00.000Z
2019-06-09,47192607120,48,2019-06-09T00:00:00.000Z,2019-06-10T00:00:00.000Z
2019-06-08,40453716225,48,2019-06-08T00:00:00.000Z,2019-06-09T00:00:00.000Z
2019-06-07,39593849329,48,2019-06-07T00:00:00.000Z,2019-06-08T00:00:00.000Z
2019-06-06,41268210874,48,2019-06-06T00:00:00.000Z,2019-06-07T00:00:00.000Z
2019-06-05,41773690022,48,2019-06-05T00:00:00.000Z,2019-06-06T00:00:00.000Z
2019-06-04,39926024895,48,2019-06-04T00:00:00.000Z,2019-06-05T00:00:00.000Z
2019-06-03,40291091594,48,2019-06-03T00:00:00.000Z,2019-06-04T00:00:00.000Z
2019-06-02,43536646502,47,2019-06-02T00:00:00.000Z,2019-06-03T00:00:00.000Z
2019-06-01,38330699772,48,2019-06-01T00:00:00.000Z,2019-06-02T00:00:00.000Z
2019-05-31,36967355328,48,2019-05-31T00:00:00.000Z,2019-06-01T00:00:00.000Z
2019-05-30,43670804353,48,2019-05-30T00:00:00.000Z,2019-05-31T00:00:00.000Z
2019-05-29,37353107130,48,2019-05-29T00:00:00.000Z,2019-05-30T00:00:00.000Z
2019-05-28,37619852020,48,2019-05-28T00:00:00.000Z,2019-05-29T00:00:00.000Z
2019-05-27,37668132781,48,2019-05-27T00:00:00.000Z,2019-05-28T00:00:00.000Z
2019-05-26,40570200324,48,2019-05-26T00:00:00.000Z,2019-05-27T00:00:00.000Z
